
Intensity Median Ch=9 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
3648,,Surface,9,Image 1,1,7385,
1482,,Surface,9,Image 1,1,7386,
1470,,Surface,9,Image 1,1,7387,
1543,,Surface,9,Image 1,1,7388,
330.5,,Surface,9,Image 1,1,7389,
5404,,Surface,9,Image 1,1,7390,
312,,Surface,9,Image 1,1,7391,
428,,Surface,9,Image 1,1,7392,
3716,,Surface,9,Image 1,1,7393,
1594,,Surface,9,Image 1,1,7394,
1708,,Surface,9,Image 1,1,7395,
1546,,Surface,9,Image 1,1,7396,
1038,,Surface,9,Image 1,1,7397,
1800,,Surface,9,Image 1,1,7398,
482,,Surface,9,Image 1,1,7399,
346,,Surface,9,Image 1,1,7400,
4520,,Surface,9,Image 1,1,7401,
7992,,Surface,9,Image 1,1,7402,
1552,,Surface,9,Image 1,1,7403,
6948,,Surface,9,Image 1,1,7404,
930,,Surface,9,Image 1,1,7405,
3708,,Surface,9,Image 1,1,7406,
8904,,Surface,9,Image 1,1,7407,
1716,,Surface,9,Image 1,1,7408,
3728,,Surface,9,Image 1,1,7410,
3840,,Surface,9,Image 1,1,7411,
8148,,Surface,9,Image 1,1,7412,
532,,Surface,9,Image 1,1,7413,
828,,Surface,9,Image 1,1,7414,
1824,,Surface,9,Image 1,1,7415,
3092,,Surface,9,Image 1,1,7416,
7912,,Surface,9,Image 1,1,7417,
2968,,Surface,9,Image 1,1,7418,
4356,,Surface,9,Image 1,1,7419,
9320,,Surface,9,Image 1,1,7420,
1034,,Surface,9,Image 1,1,7421,
3128,,Surface,9,Image 1,1,7422,
5096,,Surface,9,Image 1,1,7423,
203,,Surface,9,Image 1,1,7424,
276,,Surface,9,Image 1,1,7425,
3256,,Surface,9,Image 1,1,7426,
4,,Surface,9,Image 1,1,7427,
5844,,Surface,9,Image 1,1,7428,
1956,,Surface,9,Image 1,1,7429,
982,,Surface,9,Image 1,1,7430,
